UserID,MovieID,Rating,Timestamp
5,108,1,063310102024
6,109,5,005407072024
23,115,2,103027022024
26,104,1,131024102024
50,101,1,082816012024
22,120,4,115807122024
39,118,1,073415082024
22,108,4,101210062024
8,102,1,230002112024
20,112,5,082501122024
37,108,5,090102062024
8,113,3,224325032024
25,114,3,172115082024
5,106,4,134329062024
13,109,1,052323012024
14,115,5,062912022024
18,111,5,163030012024
18,120,5,104226042024
16,110,1,012113092024
37,108,2,102526082024
33,108,4,083431082024
24,107,3,144826062024
26,102,3,005031072024
15,101,5,222924062024
24,117,3,062201112024
32,115,2,022318122024
40,116,3,054306022024
41,114,3,121425112024
6,116,3,120222102024
41,105,3,110317032024
41,119,4,180515102024
25,109,2,034218042024
49,111,3,115706122024
14,113,5,161703082024
23,116,5,130203092024
28,102,3,161430042024
48,101,5,142915082024
28,118,2,134811062024
30,115,1,155921052024
49,111,5,133016092024
15,120,5,171513082024
46,110,3,210919052024
4,111,5,224910082024
11,101,3,045605072024
14,118,1,063220092024
12,103,2,200131012024
47,110,5,175312072024
48,110,5,060524012024
3,110,2,142201042024
30,106,4,074223062024
30,117,1,100902072024
24,110,4,044225062024
25,109,1,191701112024
11,119,5,205229112024
34,103,5,222230042024
17,114,5,113316042024
45,109,4,104530012024
38,109,2,020015072024
19,104,5,015414052024
15,108,5,140901012024
25,119,1,112308082024
43,117,4,070008072024
42,119,4,084502062024
14,109,5,124802072024
44,102,5,192627012024
25,101,2,224007102024
33,117,2,083028012024
12,108,1,073625052024
7,116,5,221619032024
19,113,1,021429072024
28,105,2,014217072024
29,118,4,032021062024
12,107,3,201710052024
35,101,4,000506062024
20,107,2,121001082024
16,114,3,114131082024
8,114,1,154728012024
39,120,4,033519062024
7,105,2,031211102024
40,102,1,053405102024
37,112,4,223302072024
15,110,4,034430032024
18,117,3,145131102024
50,117,1,101701042024
43,105,5,232903042024
30,118,1,141725082024
24,116,1,065817042024
49,103,5,042430032024
19,106,3,092616082024
29,118,2,132121042024
45,102,2,013912012024
7,108,1,210628092024
1,117,3,145712112024
50,101,1,183329012024
38,118,2,055521122024
1,114,2,112613072024
18,119,5,024720072024
25,107,4,070608062024
35,105,4,111318012024
24,102,4,203730112024
42,102,1,214520122024
6,105,5,071824012024
47,107,2,084230102024
41,115,5,184113032024
6,103,4,020701032024
31,107,4,151421122024
17,110,5,164201102024
2,112,4,150212092024
50,117,1,013012052024
1,109,3,202322042024
9,112,2,200320092024
33,119,4,062512092024
50,109,3,195430072024
13,118,5,174014052024
10,119,3,140615062024
1,110,2,054526042024
33,117,3,154624072024
22,114,1,180416122024
14,116,2,150108072024
14,103,3,074313102024
46,109,5,171220082024
36,116,5,075901042024
21,110,4,071001052024
41,119,5,104229102024
45,116,1,124104042024
2,110,5,051707122024
33,115,3,154118072024
45,119,1,184708062024
14,105,4,183326102024
24,103,3,043115062024
31,120,4,032010102024
41,120,1,125126122024
49,120,5,163621082024
47,106,5,151908032024
19,108,2,171706112024
17,118,2,120703092024
35,113,5,153514102024
27,116,2,044713102024
46,109,1,125319062024
46,107,5,224607042024
1,104,3,101911072024
9,120,2,083104022024
19,104,2,024801052024
34,113,4,120026052024
2,107,2,181907122024
35,102,1,012522022024
44,105,5,092130052024
43,113,1,013624072024
44,111,5,181420032024
11,109,2,001116112024
44,104,1,053022032024
4,101,1,212230032024
34,110,4,230726102024
1,118,4,235007122024
50,112,1,041829062024
5,115,4,162011052024
8,115,1,161411082024
17,106,1,130509102024
23,109,2,185106022024
2,106,1,215702082024
15,113,3,044428052024
29,105,2,071129082024
45,105,4,193725022024
29,118,1,174525052024
13,113,1,084802012024
33,106,1,023223062024
38,117,4,185912042024
31,105,3,164303102024
14,109,4,101402042024
20,113,3,125317122024
23,109,1,013517022024
41,115,5,094901092024
17,117,1,133612042024
6,117,3,151811032024
29,116,3,082714032024
49,115,5,121326122024
11,105,4,195608022024
39,105,1,203130012024
10,106,1,235304042024
39,118,1,190707022024
37,113,2,003119012024
12,107,2,081202042024
42,118,2,155208112024
46,111,2,051931072024
11,116,1,030725082024
31,103,3,174828072024
35,118,5,233320062024
14,118,2,124209052024
48,102,1,205002112024
12,113,3,095111012024
27,120,4,022819042024
37,112,1,101501102024
41,107,4,032612082024
22,112,5,092429122024
27,116,2,182123012024
45,111,1,115530072024
39,106,3,130322082024
38,117,4,041606092024
20,108,4,150720082024
11,101,5,210611022024
